id,Category,Categ_impact,Sector,Categ_instrmnt,Sector_econAct,Value_lowerLim,Value_upperLim,Unit (USD/YY),YearData,NormalizedValue_YY,Descr-Method,Certainty,CertaintyDetail,HowNexusy,HowNexusy1,HowNexusy2,HowNexusy3,HowNexusy4,HowNexusy5,Source,SourceDetail
20,BD_fin,Positive,Private,Private equity,conservation & sustainability,6.8,6.8,billion USD,,2018,"The impact assets under management that are associated with conservation according to a global survey of impact investors from the Global Impact Investing Network (GIIN). This figure was originally 3.8 (as cited in the Dasgupta report), but I recalculated it because I checked the original report, and 3% dedicated to conservation from a total of 228.1 billion of assets under management would be 6.8 billion. ",unknown,unknown,biodiversity,biodiversity,NA,NA,,,"Bass, Dithrich, and Mudaliar, 2018 (GIIN)","Bass, Dithrich, and Mudaliar, 2018 (GIIN)"
58,BD_fin,Positive,Public,Ecological fiscal transfer,conservation & sustainability,23,23,billion USD,,2020,"Ecological fiscal transfers (EFT) transfer public revenue between governments within a country based on ecological indicators. They review established EFT in Brazil, Portugal, France, China and India, and emerging or proposed EFT in ten more countries.",unknown,NA,"biodiversity, water, climate (indirect)",biodiversity,water,climate,,,Busch 2021,Busch et al. 2021 Nat Sustainability
36,BD_fin,Positive,Public,Domestic budgets,climate,253,253,billion USD,,2019,"Average annual public spending for climate finance (2017-2018) (this seems to also include commitments, not just money spent) ",unknown,Likely underestimate,climate,climate,NA,NA,,,CPI 2018,CPI 2019
6,BD_fin,Positive,Private,Impact investment,conservation & sustainability,8.2,8.2,billion USD,,2015,"The total impact investing in 2015. This is based on a 2016 survey of private investment in conservation, where they took care to limit amount of double-counting across respondents",unknown,unquantified,"biodiversity, food, water",biodiversity,food,water,,,Dasgupta 2021,"Dasgupta 2021, citing Hamrick 2016"
19,BD_fin,Positive,Public,Debt-for-Nature swaps,conservation & sustainability,0.5194,0.5194,billion USD,,2018,"Debt cancelled by Debt-for-Nature swaps, which was reinvested specifically into conservation (not all  money invested into Debt-for-Nature swaps was destined to conservation) ",unknown,unknown,"biodiversity, health (because of medicinal clause in validity of swap)",biodiversity,health,NA,,,Dasgupta 2021,"citing Sommer, Restivo, and Shandra 2019, which in turn are citing Sheikh 2018"
18,BD_fin,Positive,Public,PES,conservation & sustainability,36,42,billion USD,,2018,Esimate of the annual transactions in PES annually based on over 550 active programs around the world (including watershed programs),unknown,"Should be considered an underestimate, or low-end estimate of actual activity","biodiversity, water, climate",biodiversity,climate_water,NA,,,Dasgupta 2021,"Dasgupta 2021, citing Salzman et al., 2018"
52,BD_fin,Positive,Private,ESG investment,unknown,3000,31000,billion USD,,2019,"The estimate of the global asset size for environmental, social, and governance (ESG) investing",low,"High uncertainty, given there is no standard for defining ESG investing",unknown,unknown,NA,NA,,,Dasgupta 2021,"citing IMF 2019, which in turn cited J.P. Morgan 2019 for 3 trillion, and Global Sustainable Investment Alliance 2019 for 31 trillion. Both of these sources were unfindable."
44,BD_fin,Positive,Public,Domestic budgets/Taxes,conservation & sustainability,74.6,77.7,billion USD,,2019,"Estimated flow of finance to biodiversity through domestic budgets and tax policy. Estimate is based on the OECD estimate of domestic budgets spending (from 80 countries), this report adds data from 7 more countries, and predicts the spending from the rest of the 100 other countries in the world by correlating GDP with biodiversity spending.",unknown,Not reported,biodiversity,biodiversity,NA,NA,,,Deutz 2020,Deutz 2020
49,BD_fin,Positive,Mixed,Green bonds/loans,unknown,3.8,6.3,billion USD,,2019,"Estimated flow to green financial products, which are a collection of financial instruments, primarily debt and equity, that facilitate the flow of investment capital into companies and projects that can have a positive impact on biodiversity. Here, this includes green bonds, sustainability-linked loans, and private equity funds supporting biodiversity. These are based on experts' opinions of the market sizes of e.g., Bloomberg NED, Climate Bonds Initiative. This differs from reports from the CBD, which are believed to overestimate the use of proceeds from green bonds to finance biodiversity conservation.",low,"High uncertainty, as this relies on expert judgements of proportion of funds dedicated to biodiversity",biodiversity,biodiversity,NA,NA,,,Deutz 2020,Deutz 2020
47,BD_fin,Positive,Mixed,Offsets,conservation & sustainability,6.3,9.2,billion USD,,2019,"Estimated flow of finance to biodiversity offsets based on literature review, which found very limited information. They focused on 5 countries which had offset expenditure data: Australia, Brazil, Mexico, Germany, and the US. ",unknown,Likely underestimate,biodiversity,biodiversity,NA,NA,,,Deutz 2020,Deutz 2020
42,BD_fin,Negative,Public,Government support/subsidies,forestry,28,55,billion USD,,2019,"The total estimated subsidies provided to forestry, as defined by OECD's ""potential biodiversity harmful"" category of production subsidies. Reliable global estimates of subsidies to the forestry sector have not been generated for more than two decades. The US$ 28",low,High uncertainty,biodiversity,biodiversity,NA,NA,,,Deutz 2020,Deutz 2020
87,BD_fin,Negative,Public,Government support/subsidies,forestry,155,155,billion USD,,2022,The value of illegally harvested wood; based on Interpol (2020) and the World Bank (2021). No global data on other subsidies to forestry. ,unknown,unknown,biodiversity,biodiversity,NA,NA,,,Koplow and Steenblik 2022,Koplow and Steenblik 2022
48,BD_fin,Positive,Mixed,Philanthropy/NGOs,conservation & sustainability,1.7,3.5,billion USD,,2019,Estimated flows to biodiversity from philanthropy and other NGOs. Based on the average 2017 OECD Creditor Reporting System (CRS)739 data of 26 philanthropic foundations and 5 of the biggest conservation NGOs. Based on the average 2017 OECD Creditor Reporting System (CRS)739 data of 26 philanthropic foundations. Revenues from the public sector and philanthropic foundations were subtracted from the lower limit estimate to avoid double counting. Also includes private finance by Development Assistance Committee (DAC)and by Global Environment Facility (GEF),medium,Medium uncertainty,biodiversity,biodiversity,NA,NA,,,Deutz 2020,Deutz 2020
9,BD_fin,Positive,Public,Domestic budgets,conservation & sustainability,67.8,67.8,billion USD,,2017,"Domestic public spending on biodiversity from 81 countries on average. This is mainly based from CBD financial reporting, COFOG, and the UNDP's Biodiversity Finance Initiative (BIOFIN). ",high,Low uncertainty,biodiversity,biodiversity,NA,NA,,,OECD 2020,OECD 2020
8,BD_fin,Positive,Mixed,Multiple,total,78,91,billion USD,,2017,"Biodiversity finance as defined by expenditure that contributes to conservation, sustainable use, and restoration of biodiversity. This was estimated based on currently available data on average annual public expenditure (based on 81 countries), as well as development finance from official donors, and siverse sources of philanthropy, private comparies, asset managers, individuals, and communities.",medium,"Medium uncertainty because it includes the private flows which are highly uncertain, but public are more certain. This is considered a conservative underestimate",biodiversity,biodiversity,NA,NA,,,OECD 2020,OECD 2020
