"id","Category","Categ_impact","Sector","Categ_instrmnt","Sector_econAct","Value_lowerLim","Value_upperLim","Unit..USD.YY.","Certainty","HowNexusy","HowNexusy1","HowNexusy2","HowNexus3","Source"
1,"BD_fin","Positive","Private","Green finance","",5.2,5.2,"billion USD","unknown","unknown","unknown",NA,NA,"TheCityUK 2023"
2,"BD_fin","Negative","Other","Illegal trade","wildlife trade",7,23,"billion USD","low certainty due to lack of data","biodiversity","biodiversity",NA,NA,"OECD 2021"
3,"BD_fin","Positive","Mixed",NA,"",9.5,9.5,"billion USD","verified","biodiversity, water, (climate implied)","biodiversity","water","climate","OECD 2021, citing BenDor et al., 2015"
4,"BD_fin","Negative","Mixed",NA,"total",7000,7000,"billion USD","unknown","unknown","unknown",NA,NA,"UNEP 2015 (The Financial System We Need)"
5,"BD_fin","Negative","Public","Government support/subsidies","fossil fuels",5300,5300,"billion USD","Medium uncertainty, based on sensitivity analyses","climate, health","climate","health",NA,"Coady 2017"
6,"BD_fin","Positive","Private","Impact investment","",8.2,8.2,"billion USD","unquantified","biodiversity, food, water","biodiversity","food_water",NA,"Dasgupta 2021, citing Hamrick 2016"
7,"BD_fin","Positive","Private","Offsets","",4.8,4.8,"billion USD","High uncertainty ","biodiversity","biodiversity",NA,NA,"UNEP 2021 (State of Finance), Bennet et al., 2017 (State of Biodiversity Mitigation)"
8,"BD_fin","Positive","Mixed","Multiple","",78,91,"billion USD","Medium uncertainty because it includes the private flows which are highly uncertain, but public are more certain. This is considered a conservative underestimate","biodiversity","biodiversity",NA,NA,"OECD 2020"
9,"BD_fin","Positive","Public","Domestic budgets","",67.8,67.8,"billion USD","Low uncertainty","biodiversity","biodiversity",NA,NA,"OECD 2020"
10,"BD_fin","Positive","Public","International budgets","",3.9,9.3,"billion USD","High uncertainty; lower limit estimate counts ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿","biodiversity, water","biodiversity","water",NA,"OECD 2020"
11,"BD_fin","Positive","Private","Multiple","",6.6,13.6,"billion USD","High uncertainty","biodiversity, food, climate, water","biodiversity","food_climate_water",NA,"OECD 2020"
12,"BD_fin","Negative","Other","Illegal trade","wildlife trade, mining and extraction, forestry and fishing",110,281,"billion USD","low certainty due to lack of data","biodiversity","biodiversity",NA,NA,"OECD 2021, based on Nellemann et al., 2018"
13,"BD_fin","Positive","Private","Green bonds","total",170.6,170.6,"billion USD","unknown","unknown","unknown",NA,NA,"OECD 2021, Climate Bonds Initiative 2020"
14,"BD_fin","Positive","Private","Impact investment","",33,33,"billion USD","unknown","biodiversity, climate","biodiversity","climate",NA,"OECD 2020"
15,"BD_fin","Positive","Private","Impact investment","",9.5,9.5,"billion USD","unknown","biodiversity","biodiversity",NA,NA,"OECD 2020"
16,"BD_fin","Positive","Private","Stocks/bonds","",1000,1000,"billion USD","unknown","biodiversity, climate, food, water","biodiversity","food_climate_water",NA,"Finance Watch 2019"
17,"BD_fin","Positive","Private","Impact investment","",502,502,"billion USD","unknown","biodiversity","biodiversity",NA,NA,"Finance Watch 2019"
18,"BD_fin","Positive","Public","PES","",36,42,"billion USD","Should be considered an underestimate, or low-end estimate of actual activity","biodiversity, water, climate","biodiversity","climate_water",NA,"Dasgupta 2021, citing Salzman et al., 2018"
19,"BD_fin","Positive","Public","Debt-for-Nature swaps","",0.5194,0.5194,"billion USD","unknown","biodiversity, health (because of medicinal clause in validity of swap)","biodiversity","health",NA,"Dasgupta 2021, citing Sommer, Restivo, and Shandra 2019, which in turn are citing Sheikh 2018"
